id,titolo,descrizione,categoria,priorita
181,Errore durante software gestionale,È necessaria assistenza per email aziendale.,Tecnico,Alta
182,Domanda su stampante,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta
183,Problema con fattura,Il sistema segnala un errore relativo a stampante.,Commerciale,Media
184,Problema con licenza scaduta,È necessaria assistenza per software gestionale.,Commerciale,Alta
185,Verifica di stampante,È necessaria assistenza per stampante.,Amministrativo,Alta
186,Assistenza su email aziendale,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta
187,Problema con fattura,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa
188,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Bassa
189,Assistenza su contratto,Il sistema segnala un errore relativo a software gestionale.,Tecnico,Media
190,Verifica di ordine cliente,Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Alta
191,Verifica di email aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Media
192,Domanda su ordine cliente,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa
193,Assistenza su stampante,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa
194,Errore durante ordine cliente,È necessaria assistenza per software gestionale.,Tecnico,Bassa
195,Problema con pagamento,È necessaria assistenza per email aziendale.,Amministrativo,Media
196,Problema con ordine cliente,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa
197,Segnalazione per rete aziendale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media
198,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa
199,Domanda su ordine cliente,Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Bassa
200,Aggiornamento su stampante,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Media
201,Errore durante rete aziendale,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Media
202,Aggiornamento su rete aziendale,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media
203,Errore durante contratto,Il sistema segnala un errore relativo a software gestionale.,Tecnico,Bassa
204,Segnalazione per stampante,È necessaria assistenza per contratto.,Amministrativo,Bassa
205,Assistenza su software gestionale,Richiesta di informazioni aggiuntive su email aziendale.,Tecnico,Media
206,Problema con software gestionale,Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Media
207,Aggiornamento su contratto,Si è verificato un problema durante l'utilizzo di stampante.,Commerciale,Bassa
208,Errore durante email aziendale,Richiesta di informazioni aggiuntive su accesso al portale.,Amministrativo,Media
209,Problema con fattura,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Media
210,Assistenza su contratto,Il sistema segnala un errore relativo a fattura.,Tecnico,Media
211,Aggiornamento su ordine cliente,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Media
212,Richiesta di rete aziendale,È necessaria assistenza per contratto.,Tecnico,Bassa
213,Assistenza su rete aziendale,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Tecnico,Alta
214,Segnalazione per software gestionale,È necessaria assistenza per accesso al portale.,Amministrativo,Bassa
215,Problema con rete aziendale,Richiesta di informazioni aggiuntive su ordine cliente.,Amministrativo,Bassa
216,Domanda su ordine cliente,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Media
217,Domanda su contratto,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Media
218,Domanda su rete aziendale,È necessaria assistenza per pagamento.,Tecnico,Media
219,Segnalazione per licenza scaduta,È necessaria assistenza per fattura.,Commerciale,Media
220,Domanda su fattura,È necessaria assistenza per fattura.,Commerciale,Bassa
221,Richiesta di licenza scaduta,Bisogna risolvere un malfunzionamento legato a contratto.,Tecnico,Alta
222,Richiesta di pagamento,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Alta
223,Assistenza su software gestionale,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Bassa
224,Domanda su pagamento,Richiesta di informazioni aggiuntive su software gestionale.,Amministrativo,Alta
225,Errore durante contratto,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Alta
226,Problema con software gestionale,Si è verificato un problema durante l'utilizzo di contratto.,Amministrativo,Media
227,Verifica di email aziendale,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media
228,Verifica di software gestionale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Alta
229,Domanda su email aziendale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Tecnico,Alta
230,Assistenza su stampante,È necessaria assistenza per fattura.,Amministrativo,Bassa
231,Aggiornamento su fattura,È necessaria assistenza per pagamento.,Tecnico,Alta
232,Assistenza su rete aziendale,Il sistema segnala un errore relativo a pagamento.,Commerciale,Bassa
233,Domanda su rete aziendale,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa
234,Richiesta di pagamento,È necessaria assistenza per ordine cliente.,Tecnico,Bassa
235,Problema con licenza scaduta,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Media
236,Aggiornamento su rete aziendale,Il sistema segnala un errore relativo a email aziendale.,Commerciale,Media
237,Aggiornamento su software gestionale,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Media
238,Verifica di pagamento,È necessaria assistenza per email aziendale.,Amministrativo,Media
239,Errore durante software gestionale,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Bassa
240,Verifica di accesso al portale,Richiesta di informazioni aggiuntive su rete aziendale.,Amministrativo,Alta
241,Assistenza su ordine cliente,Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Alta
242,Errore durante accesso al portale,È necessaria assistenza per licenza scaduta.,Tecnico,Media
243,Verifica di stampante,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Alta
244,Segnalazione per licenza scaduta,È necessaria assistenza per licenza scaduta.,Tecnico,Bassa
245,Verifica di fattura,Il sistema segnala un errore relativo a stampante.,Commerciale,Media
246,Domanda su email aziendale,Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Bassa
247,Aggiornamento su contratto,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Media
248,Domanda su pagamento,Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Bassa
249,Aggiornamento su licenza scaduta,Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Media
250,Aggiornamento su rete aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Media
251,Errore durante rete aziendale,Il sistema segnala un errore relativo a fattura.,Tecnico,Media
252,Aggiornamento su pagamento,È necessaria assistenza per software gestionale.,Tecnico,Media
253,Richiesta di software gestionale,È necessaria assistenza per fattura.,Tecnico,Media
254,Segnalazione per contratto,È necessaria assistenza per stampante.,Commerciale,Alta
255,Errore durante fattura,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Bassa
256,Domanda su stampante,È necessaria assistenza per ordine cliente.,Commerciale,Bassa
257,Richiesta di ordine cliente,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta
258,Problema con stampante,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Alta
259,Errore durante pagamento,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa
260,Problema con software gestionale,Si è verificato un problema durante l'utilizzo di pagamento.,Tecnico,Bassa
261,Errore durante ordine cliente,È necessaria assistenza per rete aziendale.,Amministrativo,Bassa
262,Aggiornamento su licenza scaduta,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa
263,Verifica di rete aziendale,Richiesta di informazioni aggiuntive su stampante.,Tecnico,Alta
264,Problema con ordine cliente,Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta
265,Assistenza su fattura,Il sistema segnala un errore relativo a rete aziendale.,Tecnico,Alta
266,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a contratto.,Tecnico,Media
267,Aggiornamento su email aziendale,Si è verificato un problema durante l'utilizzo di software gestionale.,Tecnico,Media
268,Richiesta di rete aziendale,Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Alta
269,Verifica di software gestionale,Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Bassa
270,Richiesta di stampante,È necessaria assistenza per ordine cliente.,Tecnico,Bassa
271,Domanda su ordine cliente,È necessaria assistenza per fattura.,Amministrativo,Alta
272,Domanda su pagamento,È necessaria assistenza per pagamento.,Commerciale,Bassa
273,Verifica di fattura,Richiesta di informazioni aggiuntive su licenza scaduta.,Amministrativo,Bassa
274,Domanda su contratto,Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Alta
275,Assistenza su contratto,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta
276,Verifica di email aziendale,Si è verificato un problema durante l'utilizzo di software gestionale.,Commerciale,Media
277,Richiesta di licenza scaduta,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Bassa
278,Assistenza su fattura,Bisogna risolvere un malfunzionamento legato a software gestionale.,Commerciale,Bassa
279,Aggiornamento su stampante,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa
280,Segnalazione per stampante,È necessaria assistenza per contratto.,Amministrativo,Alta
281,Domanda su contratto,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa
282,Richiesta di ordine cliente,È necessaria assistenza per fattura.,Commerciale,Bassa
283,Errore durante contratto,Si è verificato un problema durante l'utilizzo di accesso al portale.,Commerciale,Alta
284,Verifica di contratto,Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta
285,Aggiornamento su ordine cliente,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Bassa
286,Verifica di fattura,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Bassa
287,Aggiornamento su fattura,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Media
288,Errore durante pagamento,Richiesta di informazioni aggiuntive su stampante.,Commerciale,Bassa
289,Aggiornamento su stampante,Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Media
290,Aggiornamento su fattura,È necessaria assistenza per pagamento.,Commerciale,Media
291,Problema con accesso al portale,Si è verificato un problema durante l'utilizzo di rete aziendale.,Tecnico,Media
292,Segnalazione per pagamento,Si è verificato un problema durante l'utilizzo di software gestionale.,Amministrativo,Bassa
293,Domanda su rete aziendale,Si è verificato un problema durante l'utilizzo di pagamento.,Amministrativo,Alta
294,Verifica di pagamento,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Media
295,Verifica di licenza scaduta,Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Bassa
296,Domanda su fattura,È necessaria assistenza per accesso al portale.,Commerciale,Alta
297,Richiesta di accesso al portale,Si è verificato un problema durante l'utilizzo di email aziendale.,Commerciale,Alta
298,Richiesta di accesso al portale,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
